,tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
1832,2013-540,Wimbledon,Grass,128,G,20130624,127,104918,2,,Andy Murray,R,191,GBR,26.1,104925,1,,Novak Djokovic,R,188,SRB,26,6-4 7-5 6-4,5,F,189,9,2,105,67,48,16,16,9,13,4,4,105,68,40,15,16,10,17,2,8560,1,11830
1821,2014-540,Wimbledon,Grass,128,G,20140623,125,104925,1,,Novak Djokovic,R,188,SRB,27,105777,11,,Grigor Dimitrov,R,191,BUL,23.1,6-4 3-6 7-6(2) 7-6(7),5,SF,182,17,2,145,102,74,24,21,8,11,15,8,131,82,67,22,22,3,6,2,12330,13,2595
1822,2014-540,Wimbledon,Grass,128,G,20140623,126,103819,4,,Roger Federer,R,185,SUI,32.8,105683,8,,Milos Raonic,R,196,CAN,23.4,6-4 6-4 6-4,5,SF,101,6,1,80,52,42,19,15,1,1,17,4,84,46,37,19,15,4,7,4,4945,9,3245
1823,2014-540,Wimbledon,Grass,128,G,20140623,127,104925,1,,Novak Djokovic,R,188,SRB,27,103819,4,,Roger Federer,R,185,SUI,32.8,6-7(7) 6-4 7-6(4) 5-7 6-4,5,F,236,13,3,174,108,79,43,28,4,7,29,5,192,133,102,26,28,11,15,2,12330,4,4945
1773,2015-540,Wimbledon,Grass,128,G,20150629,125,104925,1,,Novak Djokovic,R,188,SRB,28.1,104755,21,,Richard Gasquet,R,183,FRA,29,7-6(2) 6-4 6-4,5,SF,141,12,2,98,74,58,11,16,3,4,6,6,113,58,38,30,16,5,8,1,13845,20,1610
1774,2015-540,Wimbledon,Grass,128,G,20150629,126,103819,2,,Roger Federer,R,185,SUI,33.8,104918,3,,Andy Murray,R,191,GBR,28.1,7-5 7-5 6-4,5,SF,127,20,1,91,69,58,12,17,1,1,12,1,107,79,56,14,17,7,10,2,9665,3,7450
1775,2015-540,Wimbledon,Grass,128,G,20150629,127,104925,1,,Novak Djokovic,R,188,SRB,28.1,103819,2,,Roger Federer,R,185,SUI,33.8,7-6(1) 6-7(10) 6-4 6-3,5,F,176,13,1,145,95,70,30,21,6,7,14,3,141,94,70,23,22,6,10,1,13845,2,9665
1765,2016-540,Wimbledon,Grass,128,G,20160627,224,105683,6,,Milos Raonic,R,196,CAN,25.5,103819,3,,Roger Federer,R,185,SUI,34.8,6-3 6-7(3) 4-6 7-5 6-3,5,SF,204,23,11,167,113,94,25,26,8,9,16,5,160,98,80,32,26,5,8,7,3175,3,6425
1766,2016-540,Wimbledon,Grass,128,G,20160627,225,104918,2,,Andy Murray,R,191,GBR,29.1,104607,10,,Tomas Berdych,R,196,CZE,30.7,6-3 6-3 6-3,5,SF,117,7,2,88,57,44,17,14,2,3,5,1,73,46,32,10,13,5,10,2,8915,9,2950
1767,2016-540,Wimbledon,Grass,128,G,20160627,226,104918,2,,Andy Murray,R,191,GBR,29.1,105683,6,,Milos Raonic,R,196,CAN,25.5,6-4 7-6(3) 7-6(2),5,F,168,7,2,103,69,60,19,17,2,2,8,1,114,73,49,29,17,6,7,2,8915,7,3175
1846,2017-540,Wimbledon,Grass,128,G,20170703,224,105227,7,,Marin Cilic,R,198,CRO,28.7,105023,24,,Sam Querrey,R,198,USA,29.7,6-7(6) 6-4 7-6(3) 7-5,5,SF,176,25,1,120,78,69,28,23,1,3,13,3,151,97,72,26,23,10,14,6,4235,28,1495
1847,2017-540,Wimbledon,Grass,128,G,20170703,225,103819,3,,Roger Federer,R,185,SUI,35.9,104607,11,,Tomas Berdych,R,196,CZE,31.7,7-6(4) 7-6(4) 6-4,5,SF,138,13,4,105,70,59,21,17,5,6,9,0,128,79,54,28,17,7,9,5,5265,15,2570
1848,2017-540,Wimbledon,Grass,128,G,20170703,226,103819,3,,Roger Federer,R,185,SUI,35.9,105227,7,,Marin Cilic,R,198,CRO,28.7,6-3 6-1 6-4,5,F,101,8,2,70,53,43,12,13,1,1,5,3,90,54,35,14,13,5,10,5,5265,6,4235
1837,2018-540,Wimbledon,Grass,128,G,20180702,224,104731,8,,Kevin Anderson,R,203,RSA,32.1,104545,9,,John Isner,R,208,USA,33.1,7-6(6) 6-7(5) 6-7(9) 6-4 26-24,5,SF,396,49,4,278,198,166,47,49,3,5,53,6,291,218,171,35,50,7,11,8,3635,10,3045
1838,2018-540,Wimbledon,Grass,128,G,20180702,225,104925,12,,Novak Djokovic,R,188,SRB,31.1,104745,2,,Rafael Nadal,L,185,ESP,32,6-4 3-6 7-6(9) 3-6 10-8,5,SF,315,23,4,176,125,95,24,29,7,11,9,4,210,150,100,34,30,15,19,21,1715,1,8770
1839,2018-540,Wimbledon,Grass,128,G,20180702,226,104925,12,,Novak Djokovic,R,188,SRB,31.1,104731,8,,Kevin Anderson,R,203,RSA,32.1,6-2 6-2 7-6(3),5,F,139,6,4,94,68,52,17,15,7,7,10,5,80,49,34,15,14,0,4,21,1715,8,3635
1626,2019-540,Wimbledon,Grass,128,G,20190701,224,104925,1,,Novak Djokovic,R,188,SRB,32.1,105138,23,,Roberto Bautista Agut,R,183,ESP,31.2,6-2 4-6 6-3 6-2,5,SF,169,9,3,115,74,57,21,18,4,5,5,2,106,71,48,17,17,3,8,1,12415,22,1600
1627,2019-540,Wimbledon,Grass,128,G,20190701,225,103819,2,,Roger Federer,R,185,SUI,37.8,104745,3,,Rafael Nadal,L,185,ESP,33,7-6(3) 1-6 6-3 6-4,5,SF,182,14,1,116,79,58,23,19,6,8,10,4,127,81,60,22,20,8,10,3,6620,2,7945
1628,2019-540,Wimbledon,Grass,128,G,20190701,226,104925,1,,Novak Djokovic,R,188,SRB,32.1,103819,2,,Roger Federer,R,185,SUI,37.8,7-6(5) 1-6 7-6(4) 4-6 13-12(3),5,F,297,10,9,219,136,101,39,34,6,13,25,6,203,127,100,39,34,5,8,1,12415,3,6620
1676,2021-540,Wimbledon,Grass,128,G,20210628,224,104925,1,,Novak Djokovic,R,188,SRB,34.1,133430,10,,Denis Shapovalov,L,185,CAN,22.2,7-6(3) 7-5 7-5,5,SF,164,8,5,112,68,55,25,18,10,11,5,6,108,72,57,15,19,7,10,1,12113,12,2915
1677,2021-540,Wimbledon,Grass,128,G,20210628,225,126610,7,,Matteo Berrettini,R,196,ITA,25.2,128034,14,,Hubert Hurkacz,R,196,POL,24.3,6-3 6-0 6-7(3) 6-4,5,SF,157,22,1,103,65,56,23,18,2,2,5,1,121,69,47,26,20,4,10,9,4468,18,2533
1678,2021-540,Wimbledon,Grass,128,G,20210628,226,104925,1,,Novak Djokovic,R,188,SRB,34.1,126610,7,,Matteo Berrettini,R,196,ITA,25.2,6-7(4) 6-4 6-4 6-3,5,F,204,5,4,122,75,59,25,20,5,7,16,3,154,91,69,24,22,9,15,1,12113,9,4468
1668,2022-540,Wimbledon,Grass,128,G,20220627,224,104925,1,,Novak Djokovic,R,188,SRB,35,111815,9,,Cameron Norrie,L,188,GBR,26.8,2-6 6-3 6-2 6-4,5,SF,155,13,1,88,57,47,18,18,1,4,7,3,114,65,46,20,17,9,14,3,6770,12,3200
